text_id,product,sentiment,date_utc
hqwf7bj,flower,neutral,2022-01-02 05:10:50+00:00
hqwkdfx,vape,positive,2022-01-02 05:59:08+00:00
hqwkdfx,gummies,negative,2022-01-02 05:59:08+00:00
hqwkdfx,flower,positive,2022-01-02 05:59:08+00:00
hqwte7r,vape,negative,2022-01-02 07:39:16+00:00
hqwte7r,flower,positive,2022-01-02 07:39:16+00:00
hqwte7r,oil,positive,2022-01-02 07:39:16+00:00
hqxei68,flower,negative,2022-01-02 12:23:48+00:00
hqxei68,vape,positive,2022-01-02 12:23:48+00:00
hqxxbfr,gummies,negative,2022-01-02 15:25:30+00:00
hqxxbfr,vape,positive,2022-01-02 15:25:30+00:00
hqxxk1t,gummies,positive,2022-01-02 15:27:19+00:00
hqy5aqy,oil,negative,2022-01-02 16:22:50+00:00
hqydtpy,vape,positive,2022-01-02 17:18:47+00:00
hqydtpy,gummies,positive,2022-01-02 17:18:47+00:00
hqyu5a4,flower,positive,2022-01-02 18:59:37+00:00
hqyu5a4,gummies,neutral,2022-01-02 18:59:37+00:00
hqz1w25,flower,positive,2022-01-02 19:46:54+00:00
hqzb3z8,oil,positive,2022-01-02 20:42:28+00:00
hqzb3z8,flower,negative,2022-01-02 20:42:28+00:00
hr01w3f,vape,positive,2022-01-02 23:37:25+00:00
hr01w3f,vape,negative,2022-01-02 23:37:25+00:00
hr05m2e,gummies,neutral,2022-01-03 00:02:16+00:00
hr0fpa3,flower,positive,2022-01-03 01:11:28+00:00
hr0fpa3,oil,positive,2022-01-03 01:11:28+00:00
hr0qgni,flower,negative,2022-01-03 02:26:08+00:00
hr0qqir,vape,positive,2022-01-03 02:28:04+00:00
hr11f0j,flower,positive,2022-01-03 03:45:17+00:00
hr11f0j,gummies,negative,2022-01-03 03:45:17+00:00
hr180kc,vape,neutral,2022-01-03 04:36:15+00:00
hr180kc,flower,positive,2022-01-03 04:36:15+00:00
hr1ed85,flower,positive,2022-01-03 05:31:41+00:00
hr1ed85,oil,negative,2022-01-03 05:31:41+00:00
hr1fykv,flower,neutral,2022-01-03 05:46:37+00:00
hr1fykv,vape,positive,2022-01-03 05:46:37+00:00
hr1s7ja,vape,positive,2022-01-03 08:00:57+00:00
hr1s7ja,flower,negative,2022-01-03 08:00:57+00:00
hr1uds3,vape,positive,2022-01-03 08:28:44+00:00
hr1uds3,flower,negative,2022-01-03 08:28:44+00:00
hr2110g,flower,negative,2022-01-03 09:56:06+00:00
hr2110g,gummies,positive,2022-01-03 09:56:06+00:00
hr259mi,gummies,negative,2022-01-03 10:52:23+00:00
hr26jg8,vape,negative,2022-01-03 11:08:55+00:00
hr287lw,vape,positive,2022-01-03 11:29:50+00:00
hr287lw,flower,positive,2022-01-03 11:29:50+00:00
hr30942,vape,positive,2022-01-03 15:41:51+00:00
hr3fp67,vape,positive,2022-01-03 17:22:32+00:00
hr3fp67,flower,positive,2022-01-03 17:22:32+00:00
hr3sto5,flower,negative,2022-01-03 18:42:45+00:00
hr3sto5,vape,negative,2022-01-03 18:42:45+00:00
hr3tf6o,oil,negative,2022-01-03 18:46:27+00:00
hr3tw19,flower,positive,2022-01-03 18:49:17+00:00
hr5vknj,oil,negative,2022-01-04 02:56:22+00:00
hr6361w,oil,positive,2022-01-04 03:51:28+00:00
hr69q69,oil,negative,2022-01-04 04:41:52+00:00
hr6c04k,oil,positive,2022-01-04 05:00:32+00:00
hr6c04k,topical,positive,2022-01-04 05:00:32+00:00
hr73afc,vape,positive,2022-01-04 10:10:37+00:00
hr7mziv,vape,positive,2022-01-04 13:43:28+00:00
hr7mziv,gummies,positive,2022-01-04 13:43:28+00:00
hr7mziv,flower,negative,2022-01-04 13:43:28+00:00
hr8hr6l,flower,positive,2022-01-04 17:19:30+00:00
hr8hr6l,topical,positive,2022-01-04 17:19:30+00:00
hr8xrd3,gummies,negative,2022-01-04 19:01:51+00:00
hr8xrd3,flower,neutral,2022-01-04 19:01:51+00:00
hr9dhqm,oil,positive,2022-01-04 20:42:29+00:00
hr9hjtc,gummies,positive,2022-01-04 21:08:05+00:00
hr9hjtc,vape,negative,2022-01-04 21:08:05+00:00
hr9k8mr,vape,negative,2022-01-04 21:25:01+00:00
hr9k8mr,flower,negative,2022-01-04 21:25:01+00:00
hr9oba2,flower,neutral,2022-01-04 21:50:58+00:00
hr9oba2,vape,positive,2022-01-04 21:50:58+00:00
hr9tquk,vape,neutral,2022-01-04 22:26:12+00:00
hr9tquk,vape,negative,2022-01-04 22:26:12+00:00
hr9tquk,vape,positive,2022-01-04 22:26:12+00:00
hr9z8vp,oil,neutral,2022-01-04 23:02:15+00:00
hrao0uy,gummies,neutral,2022-01-05 01:51:40+00:00
hrb78oj,flower,neutral,2022-01-05 04:11:34+00:00
hrb78oj,oil,positive,2022-01-05 04:11:34+00:00
hrba88x,gummies,negative,2022-01-05 04:35:30+00:00
hrdai2o,flower,positive,2022-01-05 16:13:06+00:00
hrduer3,gummies,neutral,2022-01-05 18:13:02+00:00
hrf8g1k,vape,negative,2022-01-05 23:39:40+00:00
hrf8g1k,flower,positive,2022-01-05 23:39:40+00:00
hrfq8pg,flower,negative,2022-01-06 01:41:52+00:00
hrfq8pg,oil,positive,2022-01-06 01:41:52+00:00
hrhfxsj,vape,positive,2022-01-06 12:41:35+00:00
hrhfxsj,flower,positive,2022-01-06 12:41:35+00:00
hrifsy7,oil,positive,2022-01-06 16:55:02+00:00
hriut8m,flower,neutral,2022-01-06 18:26:15+00:00
hriut8m,oil,positive,2022-01-06 18:26:15+00:00
hrjct8a,gummies,positive,2022-01-06 20:15:56+00:00
hrk1nva,oil,positive,2022-01-06 22:48:31+00:00
hrku7ot,flower,neutral,2022-01-07 01:59:13+00:00
hrku7ot,gummies,neutral,2022-01-07 01:59:13+00:00
hrku7ot,vape,neutral,2022-01-07 01:59:13+00:00
hrlmwst,gummies,positive,2022-01-07 05:36:07+00:00
hrluyh9,gummies,negative,2022-01-07 06:55:39+00:00
hrmdbow,gummies,neutral,2022-01-07 10:40:33+00:00
hrmdi21,gummies,positive,2022-01-07 10:42:49+00:00
hrmdi21,oil,positive,2022-01-07 10:42:49+00:00
hroroom,oil,neutral,2022-01-07 20:52:14+00:00
hroroom,vape,negative,2022-01-07 20:52:14+00:00
hrpxhfm,oil,positive,2022-01-08 01:30:22+00:00
hrpxwwm,flower,positive,2022-01-08 01:33:30+00:00
hrpxwwm,vape,positive,2022-01-08 01:33:30+00:00
hrpxwwm,gummies,negative,2022-01-08 01:33:30+00:00
hrr2wiw,flower,positive,2022-01-08 07:26:45+00:00
hrr2wiw,gummies,positive,2022-01-08 07:26:45+00:00
hrr2wiw,vape,positive,2022-01-08 07:26:45+00:00
hrsh4ge,flower,neutral,2022-01-08 16:11:52+00:00
hrsh4ge,oil,positive,2022-01-08 16:11:52+00:00
hrsix9v,gummies,positive,2022-01-08 16:24:08+00:00
hrsix9v,oil,positive,2022-01-08 16:24:08+00:00
hrt51ch,gummies,negative,2022-01-08 18:48:45+00:00
hrt51ch,flower,negative,2022-01-08 18:48:45+00:00
hrt51ch,vape,negative,2022-01-08 18:48:45+00:00
hrvihsv,gummies,positive,2022-01-09 04:47:25+00:00
hrvr45w,oil,negative,2022-01-09 06:05:51+00:00
hrx2bj1,oil,positive,2022-01-09 14:42:13+00:00
hrx2bj1,topical,neutral,2022-01-09 14:42:13+00:00
hrxayhh,oil,positive,2022-01-09 15:42:49+00:00
hryri8h,flower,positive,2022-01-09 21:00:46+00:00
hryri8h,vape,positive,2022-01-09 21:00:46+00:00
hrz3u09,gummies,neutral,2022-01-09 22:14:10+00:00
hs4gj4r,flower,positive,2022-01-10 22:11:51+00:00
hs4gj4r,gummies,positive,2022-01-10 22:11:51+00:00
hs4gj4r,vape,positive,2022-01-10 22:11:51+00:00
hs5sb2n,vape,positive,2022-01-11 03:39:06+00:00
hs5sb2n,oil,positive,2022-01-11 03:39:06+00:00
hs6epi6,gummies,negative,2022-01-11 06:48:31+00:00
hs7swz3,oil,negative,2022-01-11 15:27:04+00:00
hs81o6h,oil,positive,2022-01-11 16:21:57+00:00
hs8y2zv,gummies,negative,2022-01-11 19:39:02+00:00
hsa1bxq,oil,positive,2022-01-11 23:46:14+00:00
hsb1ux7,oil,neutral,2022-01-12 04:10:46+00:00
hsb6gzl,oil,positive,2022-01-12 04:49:08+00:00
hsb6gzl,vape,neutral,2022-01-12 04:49:08+00:00
hsbecwy,oil,neutral,2022-01-12 06:03:43+00:00
hsccyxi,gummies,positive,2022-01-12 13:02:42+00:00
hscu291,oil,positive,2022-01-12 15:14:02+00:00
hsd2n6m,gummies,negative,2022-01-12 16:10:18+00:00
hsdv42v,gummies,positive,2022-01-12 19:07:29+00:00
hsebpjc,oil,negative,2022-01-12 20:51:44+00:00
hsgyrea,flower,neutral,2022-01-13 10:25:17+00:00
hsgyrea,oil,positive,2022-01-13 10:25:17+00:00
hsgyrea,vape,positive,2022-01-13 10:25:17+00:00
hsgyrea,gummies,positive,2022-01-13 10:25:17+00:00
hsgyrea,topical,neutral,2022-01-13 10:25:17+00:00
hsjjjkm,flower,negative,2022-01-13 21:42:10+00:00
hsjjjkm,oil,neutral,2022-01-13 21:42:10+00:00
hsl1mqw,gummies,neutral,2022-01-14 03:58:07+00:00
hsm207v,topical,positive,2022-01-14 10:26:52+00:00
hsnfb17,gummies,neutral,2022-01-14 17:07:35+00:00
hsnpqdc,gummies,negative,2022-01-14 18:13:21+00:00
hsnpqdc,oil,negative,2022-01-14 18:13:21+00:00
hso0u5h,topical,positive,2022-01-14 19:25:51+00:00
hso0u5h,gummies,positive,2022-01-14 19:25:51+00:00
hso0u5h,flower,negative,2022-01-14 19:25:51+00:00
hso0u5h,vape,negative,2022-01-14 19:25:51+00:00
hsrgau4,gummies,negative,2022-01-15 13:23:30+00:00
hsswgph,gummies,neutral,2022-01-15 19:26:43+00:00
ht9wj19,flower,negative,2022-01-19 04:04:10+00:00
ht9wj19,oil,negative,2022-01-19 04:04:10+00:00
ht8e6fc,gummies,neutral,2022-01-18 21:40:45+00:00
hu34pp4,oil,positive,2022-01-24 23:27:25+00:00
hu34pp4,vape,positive,2022-01-24 23:27:25+00:00
hu34pp4,flower,neutral,2022-01-24 23:27:25+00:00
hty91je,flower,neutral,2022-01-24 00:11:36+00:00
hty91je,oil,neutral,2022-01-24 00:11:36+00:00
huajbdi,gummies,neutral,2022-01-26 13:43:02+00:00
hxraef0,topical,positive,2022-02-20 22:17:46+00:00
hxraef0,vape,positive,2022-02-20 22:17:46+00:00
hx78lpo,gummies,positive,2022-02-16 17:57:32+00:00
hx2derg,oil,neutral,2022-02-15 18:21:18+00:00
hx2derg,flower,neutral,2022-02-15 18:21:18+00:00
hx2derg,vape,neutral,2022-02-15 18:21:18+00:00
hv3at8d,vape,negative,2022-02-01 04:18:16+00:00
hvs5b18,vape,neutral,2022-02-06 06:04:48+00:00
hvs5b18,gummies,positive,2022-02-06 06:04:48+00:00
hv31my7,gummies,positive,2022-02-01 03:06:26+00:00
hvdizt7,oil,negative,2022-02-03 03:59:21+00:00
hwd1lec,oil,positive,2022-02-10 13:08:46+00:00
hwd1lec,gummies,positive,2022-02-10 13:08:46+00:00
hvfb0cl,vape,positive,2022-02-03 14:44:59+00:00
hvgsarw,oil,negative,2022-02-03 20:15:08+00:00
hvgsarw,flower,negative,2022-02-03 20:15:08+00:00
hv7gtvn,vape,positive,2022-02-02 00:13:21+00:00
hvgjvzi,oil,negative,2022-02-03 19:21:43+00:00
hw49qj7,topical,positive,2022-02-08 18:59:54+00:00
hvkihs9,gummies,positive,2022-02-04 15:14:49+00:00
hvkihs9,gummies,negative,2022-02-04 15:14:49+00:00
hvrjavk,gummies,positive,2022-02-06 01:04:24+00:00
hvn790s,oil,positive,2022-02-05 01:46:47+00:00
hvn790s,flower,positive,2022-02-05 01:46:47+00:00
hvn790s,vape,positive,2022-02-05 01:46:47+00:00
hv3ytnt,gummies,negative,2022-02-01 08:32:14+00:00
hv3ytnt,oil,positive,2022-02-01 08:32:14+00:00
hv71bnb,gummies,positive,2022-02-01 22:28:52+00:00
hw8narv,oil,negative,2022-02-09 16:12:36+00:00
hvmpmgt,flower,positive,2022-02-04 23:35:40+00:00
hvmpmgt,vape,positive,2022-02-04 23:35:40+00:00
hvkta2p,gummies,positive,2022-02-04 16:23:03+00:00
hvkta2p,oil,positive,2022-02-04 16:23:03+00:00
hv6kawd,vape,negative,2022-02-01 20:43:41+00:00
hv6kawd,flower,positive,2022-02-01 20:43:41+00:00
hw1q599,gummies,negative,2022-02-08 05:33:42+00:00
hvsmn62,oil,positive,2022-02-06 09:49:19+00:00
hvsmn62,gummies,positive,2022-02-06 09:49:19+00:00
hv3ppor,oil,negative,2022-02-01 06:41:31+00:00
hv3ppor,vape,negative,2022-02-01 06:41:31+00:00
hvg16ey,flower,positive,2022-02-03 17:29:04+00:00
hvg16ey,vape,positive,2022-02-03 17:29:04+00:00
hwuvs3o,vape,neutral,2022-02-14 02:06:27+00:00
hwuvs3o,flower,positive,2022-02-14 02:06:27+00:00
hv9sh1v,flower,neutral,2022-02-02 13:15:05+00:00
hv9sh1v,vape,positive,2022-02-02 13:15:05+00:00
hwjlch2,flower,positive,2022-02-11 19:24:05+00:00
hwjlch2,vape,positive,2022-02-11 19:24:05+00:00
hw35buh,flower,neutral,2022-02-08 14:48:44+00:00
hw35buh,gummies,positive,2022-02-08 14:48:44+00:00
hw35buh,vape,neutral,2022-02-08 14:48:44+00:00
hwd61k6,oil,neutral,2022-02-10 13:45:46+00:00
hy0lm8e,gummies,positive,2022-02-22 21:25:50+00:00
hv3a1ou,flower,negative,2022-02-01 04:11:56+00:00
hv3a1ou,gummies,neutral,2022-02-01 04:11:56+00:00
hxan0wv,oil,positive,2022-02-17 11:21:35+00:00
hxan0wv,vape,positive,2022-02-17 11:21:35+00:00
hv85lsm,gummies,positive,2022-02-02 03:05:19+00:00
hvdp4mj,flower,positive,2022-02-03 04:48:27+00:00
hv48twp,topical,positive,2022-02-01 10:45:37+00:00
hvbs24e,gummies,positive,2022-02-02 20:56:04+00:00
hvg637i,oil,positive,2022-02-03 17:58:14+00:00
hxbsacb,gummies,positive,2022-02-17 16:45:29+00:00
hxnhpbf,flower,neutral,2022-02-20 01:51:59+00:00
hvfmhto,gummies,positive,2022-02-03 15:59:46+00:00
hvfmhto,oil,positive,2022-02-03 15:59:46+00:00
hwsc9d6,gummies,positive,2022-02-13 15:33:14+00:00
hvy5aqm,flower,positive,2022-02-07 14:32:26+00:00
hv54zpr,vape,positive,2022-02-01 15:27:07+00:00
hv54zpr,flower,negative,2022-02-01 15:27:07+00:00
hv9ymi0,flower,neutral,2022-02-02 14:03:16+00:00
hv9ymi0,vape,positive,2022-02-02 14:03:16+00:00
hv9ymi0,oil,positive,2022-02-02 14:03:16+00:00
hv9ymi0,gummies,positive,2022-02-02 14:03:16+00:00
hv7606g,vape,negative,2022-02-01 22:59:14+00:00
hwwubat,oil,negative,2022-02-14 14:33:14+00:00
hv36bgo,vape,neutral,2022-02-01 03:42:17+00:00
hv36bgo,flower,positive,2022-02-01 03:42:17+00:00
hwe785e,oil,neutral,2022-02-10 17:45:45+00:00
hv5o3tx,vape,negative,2022-02-01 17:25:25+00:00
hv5o3tx,flower,negative,2022-02-01 17:25:25+00:00
hvfkvdy,oil,positive,2022-02-03 15:49:38+00:00
hvfkvdy,vape,positive,2022-02-03 15:49:38+00:00
hvw3y0m,flower,positive,2022-02-07 02:11:46+00:00
hvw3y0m,vape,neutral,2022-02-07 02:11:46+00:00
hv6agra,flower,negative,2022-02-01 19:41:55+00:00
hv6agra,oil,negative,2022-02-01 19:41:55+00:00
hx1wq7v,oil,positive,2022-02-15 16:35:46+00:00
hx1wq7v,flower,positive,2022-02-15 16:35:46+00:00
hx1wq7v,vape,positive,2022-02-15 16:35:46+00:00
hyqnvsr,gummies,positive,2022-02-28 04:49:19+00:00
hvrn6rr,oil,positive,2022-02-06 01:34:50+00:00
hv4a9ag,gummies,negative,2022-02-01 11:03:37+00:00
hvdp77c,vape,positive,2022-02-03 04:49:02+00:00
hvdp77c,flower,positive,2022-02-03 04:49:02+00:00
hvexyfe,oil,positive,2022-02-03 13:04:28+00:00
hwn2ej8,flower,positive,2022-02-12 12:59:45+00:00
hwn2ej8,vape,neutral,2022-02-12 12:59:45+00:00
hwn2ej8,gummies,neutral,2022-02-12 12:59:45+00:00
hwn2ej8,oil,neutral,2022-02-12 12:59:45+00:00
hvbxcrw,vape,negative,2022-02-02 21:27:26+00:00
hvvumch,gummies,positive,2022-02-07 00:59:42+00:00
hvvumch,flower,positive,2022-02-07 00:59:42+00:00
hyc6cx1,vape,negative,2022-02-25 03:58:49+00:00
hyc6cx1,oil,neutral,2022-02-25 03:58:49+00:00
hyc6cx1,gummies,neutral,2022-02-25 03:58:49+00:00
hyc6cx1,flower,positive,2022-02-25 03:58:49+00:00
hvhj56n,oil,positive,2022-02-03 23:07:21+00:00
hvpceek,oil,negative,2022-02-05 14:58:13+00:00
hv8528z,topical,positive,2022-02-02 03:01:28+00:00
hvrkds8,oil,positive,2022-02-06 01:12:48+00:00
hvrkds8,topical,negative,2022-02-06 01:12:48+00:00
hvgnp0j,flower,positive,2022-02-03 19:45:34+00:00
hwmn0y8,gummies,negative,2022-02-12 10:12:02+00:00
hw556xc,flower,positive,2022-02-08 22:12:50+00:00
hw556xc,gummies,positive,2022-02-08 22:12:50+00:00
hw556xc,oil,positive,2022-02-08 22:12:50+00:00
hwpxv08,gummies,negative,2022-02-13 01:17:05+00:00
hyqipqo,topical,positive,2022-02-28 04:04:24+00:00
hyqipqo,oil,positive,2022-02-28 04:04:24+00:00
hyqipqo,gummies,positive,2022-02-28 04:04:24+00:00
hwv7vtf,flower,positive,2022-02-14 03:33:13+00:00
hwv7vtf,gummies,positive,2022-02-14 03:33:13+00:00
hwv7vtf,vape,positive,2022-02-14 03:33:13+00:00
hxnb71c,topical,positive,2022-02-20 00:58:29+00:00
hvs0czh,flower,positive,2022-02-06 03:16:45+00:00
hveoztf,oil,positive,2022-02-03 11:35:00+00:00
hwi6ut5,oil,neutral,2022-02-11 14:04:06+00:00
hvbkoss,vape,positive,2022-02-02 20:10:25+00:00
hvrcy00,oil,positive,2022-02-06 00:15:07+00:00
hwegifw,gummies,positive,2022-02-10 18:42:14+00:00
hwegifw,flower,negative,2022-02-10 18:42:14+00:00
hv9ikew,gummies,positive,2022-02-02 11:37:42+00:00
hv9ikew,flower,neutral,2022-02-02 11:37:42+00:00
hv9ikew,vape,neutral,2022-02-02 11:37:42+00:00
hvhzyu5,gummies,negative,2022-02-04 01:05:17+00:00
hym1n1y,vape,positive,2022-02-27 05:51:21+00:00
hvf5vkh,oil,neutral,2022-02-03 14:08:17+00:00
hv7mmt7,oil,negative,2022-02-02 00:53:48+00:00
hv7mmt7,flower,neutral,2022-02-02 00:53:48+00:00
hv350co,vape,neutral,2022-02-01 03:32:07+00:00
hv350co,flower,positive,2022-02-01 03:32:07+00:00
hvkj93s,flower,negative,2022-02-04 15:19:53+00:00
hvchy3a,flower,positive,2022-02-02 23:38:07+00:00
hvulnzy,gummies,positive,2022-02-06 19:44:09+00:00
hvulnzy,oil,positive,2022-02-06 19:44:09+00:00
hwrgs8w,flower,neutral,2022-02-13 10:18:30+00:00
hwrgs8w,vape,neutral,2022-02-13 10:18:30+00:00
hvhpfus,vape,positive,2022-02-03 23:50:16+00:00
hvhpfus,flower,negative,2022-02-03 23:50:16+00:00
hvhpfus,gummies,neutral,2022-02-03 23:50:16+00:00
hwbckfd,oil,positive,2022-02-10 02:40:50+00:00
hwbckfd,gummies,positive,2022-02-10 02:40:50+00:00
hwbckfd,vape,negative,2022-02-10 02:40:50+00:00
hyf0kh4,gummies,positive,2022-02-25 19:08:17+00:00
hyf0kh4,oil,positive,2022-02-25 19:08:17+00:00
hy9d4sr,flower,negative,2022-02-24 16:40:12+00:00
hy9d4sr,oil,positive,2022-02-24 16:40:12+00:00
hvgg5nz,flower,negative,2022-02-03 18:58:28+00:00
hv3q3fd,vape,negative,2022-02-01 06:45:47+00:00
hv3q3fd,flower,positive,2022-02-01 06:45:47+00:00
hybnq7t,gummies,positive,2022-02-25 01:36:34+00:00
hv6fc4u,flower,negative,2022-02-01 20:12:52+00:00
hvrlnlz,oil,neutral,2022-02-06 01:22:50+00:00
hvrlnlz,gummies,neutral,2022-02-06 01:22:50+00:00
hvrlnlz,flower,positive,2022-02-06 01:22:50+00:00
hvrlnlz,flower,neutral,2022-02-06 01:22:50+00:00
hvmup2j,gummies,negative,2022-02-05 00:12:16+00:00
hxvaohq,flower,negative,2022-02-21 19:31:50+00:00
hxvaohq,vape,positive,2022-02-21 19:31:50+00:00
hxvaohq,gummies,positive,2022-02-21 19:31:50+00:00
hvamz1h,vape,negative,2022-02-02 16:42:18+00:00
hvamz1h,gummies,negative,2022-02-02 16:42:18+00:00
hv5g31b,vape,negative,2022-02-01 16:36:34+00:00
hwv9hio,vape,positive,2022-02-14 03:46:03+00:00
hwv9hio,flower,neutral,2022-02-14 03:46:03+00:00
hvd6auf,vape,negative,2022-02-03 02:27:23+00:00
hwcz0qi,vape,negative,2022-02-10 12:45:04+00:00
hvahggc,oil,positive,2022-02-02 16:08:43+00:00
hxbk5b7,oil,positive,2022-02-17 15:54:03+00:00
hxbk5b7,flower,positive,2022-02-17 15:54:03+00:00
hv7dnvj,vape,neutral,2022-02-01 23:51:23+00:00
hv7dnvj,gummies,neutral,2022-02-01 23:51:23+00:00
hv7dnvj,flower,neutral,2022-02-01 23:51:23+00:00
hvba4qb,gummies,negative,2022-02-02 19:03:34+00:00
hvba4qb,flower,neutral,2022-02-02 19:03:34+00:00
hvba4qb,vape,positive,2022-02-02 19:03:34+00:00
hyz3r1o,oil,positive,2022-03-01 22:59:45+00:00
hzcs9re,gummies,negative,2022-03-04 19:31:47+00:00
hzsgl9c,gummies,negative,2022-03-08 02:54:33+00:00
hyzwrjt,vape,negative,2022-03-02 02:32:11+00:00
hyzwrjt,oil,negative,2022-03-02 02:32:11+00:00
hz1kwb9,oil,positive,2022-03-02 12:56:21+00:00
hyyrvfh,vape,positive,2022-03-01 21:41:43+00:00
i0g31dz,gummies,negative,2022-03-13 02:39:44+00:00
hzd43br,gummies,negative,2022-03-04 20:47:19+00:00
hz0l51q,vape,positive,2022-03-02 05:48:44+00:00
hz0l51q,flower,positive,2022-03-02 05:48:44+00:00
i242dvr,flower,negative,2022-03-25 20:43:49+00:00
i242dvr,oil,positive,2022-03-25 20:43:49+00:00
i0gujii,oil,positive,2022-03-13 07:22:38+00:00
i0gujii,vape,positive,2022-03-13 07:22:38+00:00
hywvvh8,flower,positive,2022-03-01 14:13:39+00:00
hzxcrez,oil,positive,2022-03-09 03:08:22+00:00
hyzr9fy,oil,positive,2022-03-02 01:51:25+00:00
hzqkl2f,gummies,positive,2022-03-07 19:01:10+00:00
hzqkl2f,flower,positive,2022-03-07 19:01:10+00:00
i1a555d,topical,positive,2022-03-19 14:06:12+00:00
hz2083n,flower,positive,2022-03-02 14:58:21+00:00
i0a9e10,gummies,positive,2022-03-11 20:21:56+00:00
hyzwc4j,vape,positive,2022-03-02 02:29:07+00:00
hz59ryg,oil,positive,2022-03-03 05:05:16+00:00
hztdnvr,gummies,negative,2022-03-08 08:34:53+00:00
i0snizm,vape,positive,2022-03-15 20:29:28+00:00
i1orvqn,gummies,positive,2022-03-22 17:43:30+00:00
i1srivx,flower,positive,2022-03-23 14:28:22+00:00
i1srivx,vape,negative,2022-03-23 14:28:22+00:00
i1dxohw,oil,positive,2022-03-20 09:52:31+00:00
i1dxohw,gummies,positive,2022-03-20 09:52:31+00:00
i29qiyy,flower,positive,2022-03-27 02:50:04+00:00
i29qiyy,topical,positive,2022-03-27 02:50:04+00:00
i2ni4u8,vape,negative,2022-03-30 00:13:13+00:00
i2ni4u8,oil,positive,2022-03-30 00:13:13+00:00
i2ni4u8,gummies,positive,2022-03-30 00:13:13+00:00
hz7btq1,oil,positive,2022-03-03 16:59:11+00:00
hz8qluf,vape,neutral,2022-03-03 22:35:11+00:00
i02mmrr,gummies,negative,2022-03-10 05:23:42+00:00
i02mmrr,flower,positive,2022-03-10 05:23:42+00:00
i13cf2p,oil,positive,2022-03-18 00:32:16+00:00
hzs31xw,oil,positive,2022-03-08 01:10:48+00:00
hzs31xw,flower,negative,2022-03-08 01:10:48+00:00
hzs31xw,vape,neutral,2022-03-08 01:10:48+00:00
hzgpyo6,vape,negative,2022-03-05 16:06:38+00:00
hzgpyo6,oil,positive,2022-03-05 16:06:38+00:00
hzgpyo6,flower,positive,2022-03-05 16:06:38+00:00
hzorcez,oil,positive,2022-03-07 10:07:46+00:00
hyyauel,flower,negative,2022-03-01 19:53:08+00:00
hyyauel,vape,negative,2022-03-01 19:53:08+00:00
hyzs9ms,vape,positive,2022-03-02 01:59:00+00:00
hyw3wsi,oil,positive,2022-03-01 08:57:37+00:00
hz15roc,oil,positive,2022-03-02 09:59:20+00:00
hz15roc,flower,negative,2022-03-02 09:59:20+00:00
hyxo43a,gummies,negative,2022-03-01 17:27:37+00:00
i1jlr8l,oil,positive,2022-03-21 16:02:46+00:00
i1jlr8l,flower,positive,2022-03-21 16:02:46+00:00
hzgn9xr,vape,positive,2022-03-05 15:47:04+00:00
hzgn9xr,vape,negative,2022-03-05 15:47:04+00:00
hzgn9xr,flower,positive,2022-03-05 15:47:04+00:00
i05ow7g,gummies,positive,2022-03-10 21:18:47+00:00
hyvbpfn,vape,neutral,2022-03-01 03:53:16+00:00
i0sm0dw,vape,negative,2022-03-15 20:19:55+00:00
i2oh37p,vape,negative,2022-03-30 05:06:50+00:00
