text_id,product,sentiment,source,date_utc,response_id,extraction_error
hqrpdye,,,comment,2022-01-01 04:08:44+00:00,chatcmpl-DXwMa1VzKUeekrIUOrE6UKvBoThLZ,
hqrpib2,,,comment,2022-01-01 04:09:53+00:00,chatcmpl-DXwMb8DgI8rteH6NPTfSStmPEq0po,
hqrplky,vape,neutral,comment,2022-01-01 04:10:43+00:00,chatcmpl-DXwMcsLB5vn2NkzJQUv5WCywUUaKp,
hqrq9s2,gummies,negative,comment,2022-01-01 04:17:06+00:00,chatcmpl-DXwMd7lQvcDVCpLNjBWw5SFNyvbC8,
hqrqbf1,,,comment,2022-01-01 04:17:32+00:00,chatcmpl-DXwMe83KUTwPrXc2nKhJCaNi8BEhU,
hqrr3k2,,,comment,2022-01-01 04:25:00+00:00,chatcmpl-DXwMfTYGgcw21WB8vv6vokRjSrgkh,
hqrrq5n,flower,neutral,comment,2022-01-01 04:31:00+00:00,chatcmpl-DXwMgVQeBih7LJ8w9s7dspRvdz2qU,
hqrrq5n,vape,negative,comment,2022-01-01 04:31:00+00:00,chatcmpl-DXwMgVQeBih7LJ8w9s7dspRvdz2qU,
hqrrw0m,,,comment,2022-01-01 04:32:35+00:00,chatcmpl-DXwMiZJjanEvGqQRQqJq0xC9mdTpv,
hqrsbzt,,,comment,2022-01-01 04:36:50+00:00,chatcmpl-DXwMiYKxygsCDoUp2XyBmyXVEfC9Z,
hqrshxi,,,comment,2022-01-01 04:38:29+00:00,chatcmpl-DXwMjk7Mwp4s2qsVgE5xsuuBpLtw2,
hqrsniw,,,comment,2022-01-01 04:39:58+00:00,chatcmpl-DXwMkrkQggnWevWQqjEL0HYShw003,
hqrsp5o,,,comment,2022-01-01 04:40:25+00:00,chatcmpl-DXwMkgPQYKOLAUuGcIfbfhlP6SetD,
hqrt7lw,vape,positive,comment,2022-01-01 04:45:21+00:00,chatcmpl-DXwMlvVSC9HzeKrk5nR51Pet83SSq,
hqrt9d5,vape,negative,comment,2022-01-01 04:45:49+00:00,chatcmpl-DXwMmkbgQmSIqKOBAFECCHweNMank,
hqrtpij,vape,negative,comment,2022-01-01 04:50:14+00:00,chatcmpl-DXwMnCVu0u8MJxK2xCXszbxv50oG0,
hqrtpij,flower,positive,comment,2022-01-01 04:50:14+00:00,chatcmpl-DXwMnCVu0u8MJxK2xCXszbxv50oG0,
hqrvdad,,,comment,2022-01-01 05:07:53+00:00,chatcmpl-DXwMpoGxEPv76XeuHYpyQtwLyel99,
hqrvi7m,,,comment,2022-01-01 05:09:23+00:00,chatcmpl-DXwMpVJsoyivtnzwge75kIqSnb1hP,
hqrvl97,,,comment,2022-01-01 05:10:20+00:00,chatcmpl-DXwMqXAvCDdVunScsF8HfzlNTf1Di,
hqrvpkt,gummies,negative,comment,2022-01-01 05:11:38+00:00,chatcmpl-DXwMr8kFPBovXPTOejAWVFPcrs4hM,
hqrw8v9,oil,positive,comment,2022-01-01 05:17:16+00:00,chatcmpl-DXwMsbMG3jUoWQMtBU9I8AEUxhNrq,
hqrwcj7,,,comment,2022-01-01 05:18:20+00:00,chatcmpl-DXwMtrzrFrrG3PeV1akSrLVv0rjoO,
hqrwfd5,,,comment,2022-01-01 05:19:10+00:00,chatcmpl-DXwMuUDfxF2RI0kwPe4CRSExUpfGJ,
hqrx28e,,,comment,2022-01-01 05:25:39+00:00,chatcmpl-DXwMulWSnPqzQgppKg0k6NueWmsLe,
hqrxra6,vape,positive,comment,2022-01-01 05:32:44+00:00,chatcmpl-DXwMvAl2o7ipH1ZWcteEb1jQkWdOx,
hqry1ub,,,comment,2022-01-01 05:35:41+00:00,chatcmpl-DXwMwnNz3VKfyI01LGhnZbuEX0BZq,
hqryfgb,,,comment,2022-01-01 05:39:35+00:00,chatcmpl-DXwMxjzIPUQYVlKQ6Au8R42uNP3vu,
hqrz7zr,,,comment,2022-01-01 05:47:48+00:00,chatcmpl-DXwMyYllNX4m3i3RJqogiakisfMTP,
hqrzzoa,,,comment,2022-01-01 05:55:54+00:00,chatcmpl-DXwMzOovCHIUd6j1y4IZoae8dV98a,
hqs0qg8,,,comment,2022-01-01 06:04:05+00:00,chatcmpl-DXwN0ZR6qOJhbXJHSV6ahzotNxU5e,
hqs0qmj,,,comment,2022-01-01 06:04:08+00:00,chatcmpl-DXwN1jvQFNsf75mIOk1jc31QjrlzI,
hqs0yin,,,comment,2022-01-01 06:06:31+00:00,chatcmpl-DXwN1CbHlBRJXTE9DBT5oZJrwlXAs,
hqs16ho,gummies,negative,comment,2022-01-01 06:08:54+00:00,chatcmpl-DXwN2vsbPBY7wfenysDjsVfBGeBj3,
hqs1aeh,vape,neutral,comment,2022-01-01 06:10:06+00:00,chatcmpl-DXwN3iKdt3qFxmRTfmwY4ukTJSEmC,
hqs1aeh,oil,neutral,comment,2022-01-01 06:10:06+00:00,chatcmpl-DXwN3iKdt3qFxmRTfmwY4ukTJSEmC,
hqs1cg6,vape,neutral,comment,2022-01-01 06:10:44+00:00,chatcmpl-DXwN4TsUsWiQdKCWUPicANr5zOOHK,
hqs1cg6,oil,positive,comment,2022-01-01 06:10:44+00:00,chatcmpl-DXwN4TsUsWiQdKCWUPicANr5zOOHK,
hqs1gc4,flower,neutral,comment,2022-01-01 06:11:54+00:00,chatcmpl-DXwN5MCCBo3ij1dmGW8gWXqnj8SYw,
hqs1gc4,gummies,negative,comment,2022-01-01 06:11:54+00:00,chatcmpl-DXwN5MCCBo3ij1dmGW8gWXqnj8SYw,
hqs1kr4,vape,negative,comment,2022-01-01 06:13:14+00:00,chatcmpl-DXwN7R6NQsYD3T3UL3R8WWQ4rG86O,
hqs1xm1,,,comment,2022-01-01 06:17:09+00:00,chatcmpl-DXwN8UA5jZAWGiSyhMiFxrccliT8x,
hqs2crf,,,comment,2022-01-01 06:21:43+00:00,chatcmpl-DXwN8Au25158qM3ocVZhiI7Hcwjzm,
hqs2owo,,,comment,2022-01-01 06:25:27+00:00,chatcmpl-DXwN9GHYi6sgsVpc4ppabTtCbmao6,
hqs39yk,,,comment,2022-01-01 06:31:59+00:00,chatcmpl-DXwN9DrTxdPorDAINdvtw3n3YB9AM,
hqs3izk,,,comment,2022-01-01 06:34:49+00:00,chatcmpl-DXwNAkBCuNNcX6dgXRiZN0d2BMW2p,
hqs3pys,,,comment,2022-01-01 06:36:58+00:00,chatcmpl-DXwNBerO3VHiuOZFlNF19AoUGtIJ6,
hqs4i5y,,,comment,2022-01-01 06:45:59+00:00,chatcmpl-DXwNBeLfw7cxvD1kzLfNZek0EHvNT,
hqs5134,flower,positive,comment,2022-01-01 06:52:10+00:00,chatcmpl-DXwNCH6HyX341w3cHdn12BoaDjUD5,
hqs5134,gummies,positive,comment,2022-01-01 06:52:10+00:00,chatcmpl-DXwNCH6HyX341w3cHdn12BoaDjUD5,
hqs55s1,,,comment,2022-01-01 06:53:43+00:00,chatcmpl-DXwND4Kd5RsTGRPf1M2b2XEaPvMmN,
hqs5h9b,,,comment,2022-01-01 06:57:33+00:00,chatcmpl-DXwNDHeLYLPnCaAkqiO5Dff84v3Sh,
hqs5hhp,flower,positive,comment,2022-01-01 06:57:37+00:00,chatcmpl-DXwNELkbuHAd8e18Mc5IgB1vliXpr,
hqs5hhp,vape,positive,comment,2022-01-01 06:57:37+00:00,chatcmpl-DXwNELkbuHAd8e18Mc5IgB1vliXpr,
hqs5lp1,,,comment,2022-01-01 06:59:02+00:00,chatcmpl-DXwNFEMu5LzxZZlCgwk8daMsbHkfG,
hqs5wsk,,,comment,2022-01-01 07:02:50+00:00,chatcmpl-DXwNGN7k7RFcVWi0vqj73D7DEDAet,
hqs61l9,,,comment,2022-01-01 07:04:27+00:00,chatcmpl-DXwNGjLqTlYyYbReljHExSNHf7iXE,
hqs63pv,,,comment,2022-01-01 07:05:11+00:00,chatcmpl-DXwNH8lx35BytL1p8MscNpZgcukeG,
hqs6fos,,,comment,2022-01-01 07:09:14+00:00,chatcmpl-DXwNI374v49rx3jOXKORmIpsiamDe,
hqs6hkh,oil,positive,comment,2022-01-01 07:09:51+00:00,chatcmpl-DXwNIfmyvcmRYuAxLNmMYMtq5rSlR,
hqs6m6p,vape,positive,comment,2022-01-01 07:11:28+00:00,chatcmpl-DXwNJxmvmt6ffXwJspOz0C5UN4Z2b,
hqs6m6p,flower,positive,comment,2022-01-01 07:11:28+00:00,chatcmpl-DXwNJxmvmt6ffXwJspOz0C5UN4Z2b,
hqs7dwi,oil,positive,comment,2022-01-01 07:21:05+00:00,chatcmpl-DXwNKfYS2bU9aR5aX4Xk110p3Zfk1,
hqs7dwi,vape,neutral,comment,2022-01-01 07:21:05+00:00,chatcmpl-DXwNKfYS2bU9aR5aX4Xk110p3Zfk1,
hqs7dwi,flower,neutral,comment,2022-01-01 07:21:05+00:00,chatcmpl-DXwNKfYS2bU9aR5aX4Xk110p3Zfk1,
hqs7ndt,,,comment,2022-01-01 07:24:17+00:00,chatcmpl-DXwNM6ltZYgFUtyNCnGXiVZvRTmA1,
hqs7swo,,,comment,2022-01-01 07:26:14+00:00,chatcmpl-DXwNN7rzy5EUcrkNntFq6feawcFDU,
hqs7u29,oil,neutral,comment,2022-01-01 07:26:39+00:00,chatcmpl-DXwNOZL9jhXfEmCb9UeD6w7eyigek,
hqs7u29,flower,neutral,comment,2022-01-01 07:26:39+00:00,chatcmpl-DXwNOZL9jhXfEmCb9UeD6w7eyigek,
hqs7zl3,topical,neutral,comment,2022-01-01 07:28:37+00:00,chatcmpl-DXwNPLybZZl5TaNFtpthyLg3zGYlK,
hqs8qej,,,comment,2022-01-01 07:38:05+00:00,chatcmpl-DXwNQq6hZMQ0u1QeIBMvsfuUctNYg,
hqsbapa,,,comment,2022-01-01 08:12:54+00:00,chatcmpl-DXwNQTt9VXnz9RaNaRvQo8GoSSrvY,
hqsbtse,,,comment,2022-01-01 08:20:15+00:00,chatcmpl-DXwNR7gJR7eHenxhELy0lbTpmb65V,
hqsc374,,,comment,2022-01-01 08:23:49+00:00,chatcmpl-DXwNSKYgntXgUurM2Wj0xGzI6cyn6,
hqscdcq,,,comment,2022-01-01 08:27:41+00:00,chatcmpl-DXwNS0257LemlO63JXumBQh8t28Ne,
hqsck5q,,,comment,2022-01-01 08:30:18+00:00,chatcmpl-DXwNTYKtMDHNFoUXfIfNF3DgftXrN,
hqscsf7,,,comment,2022-01-01 08:33:29+00:00,chatcmpl-DXwNUqmyOTcV4IQ56IVAI5P0zQi7h,
hqscw6l,,,comment,2022-01-01 08:34:53+00:00,chatcmpl-DXwNUlTQI6bj5NlkxmLlgVhJ7WCk0,
hqsd2b8,,,comment,2022-01-01 08:37:15+00:00,chatcmpl-DXwNVKSdxRkTkFBcMlvQK1f3aczbm,
hqsd47f,,,comment,2022-01-01 08:38:00+00:00,chatcmpl-DXwNX5PwcVKoFFZoDmuA03sZR5vUV,
hqsdac4,gummies,negative,comment,2022-01-01 08:40:25+00:00,chatcmpl-DXwNYpQTpOHtJGZVfCTNtIZ5rfFml,
hqsdxki,flower,positive,comment,2022-01-01 08:49:34+00:00,chatcmpl-DXwNY3KNfkOnaf2wgG2GNBbTARGs6,
hqsdxki,gummies,negative,comment,2022-01-01 08:49:34+00:00,chatcmpl-DXwNY3KNfkOnaf2wgG2GNBbTARGs6,
hqse1mz,gummies,negative,comment,2022-01-01 08:51:09+00:00,chatcmpl-DXwNZtGR2X6mfMU71vBiIDLpXnBC4,
hqsefma,,,comment,2022-01-01 08:56:38+00:00,chatcmpl-DXwNaYm31coKxCm0QQODFhV8je8HY,
hqsew1j,,,comment,2022-01-01 09:03:13+00:00,chatcmpl-DXwNbBTB5E53QP1SUQtuR6ZFwrobi,
hqsg864,,,comment,2022-01-01 09:22:36+00:00,chatcmpl-DXwNcQrsNT1kwDcMOthus5ufY0GAS,
hqsgolp,gummies,negative,comment,2022-01-01 09:29:19+00:00,chatcmpl-DXwNdckE0DjKN8U6z9PPrYmd4hsDc,
hqsgolp,oil,negative,comment,2022-01-01 09:29:19+00:00,chatcmpl-DXwNdckE0DjKN8U6z9PPrYmd4hsDc,
hqsgolp,vape,negative,comment,2022-01-01 09:29:19+00:00,chatcmpl-DXwNdckE0DjKN8U6z9PPrYmd4hsDc,
hqshcmx,,,comment,2022-01-01 09:39:16+00:00,chatcmpl-DXwNeLf6uVmsxYEf4sLnK498TggAs,
hqsi3kd,vape,neutral,comment,2022-01-01 09:50:27+00:00,chatcmpl-DXwNf98fFexb9SPHIe0yOaH1sZrBO,
hqsia28,gummies,positive,comment,2022-01-01 09:53:09+00:00,chatcmpl-DXwNgHNA8OSoT6STrJvIBu1k3FEEm,
hqsia28,vape,negative,comment,2022-01-01 09:53:09+00:00,chatcmpl-DXwNgHNA8OSoT6STrJvIBu1k3FEEm,
hqsj02u,,,comment,2022-01-01 10:03:47+00:00,chatcmpl-DXwNi8jgHDFhv7loyOZhs8CxC8hpH,
hqskiux,,,comment,2022-01-01 10:26:22+00:00,chatcmpl-DXwNjPQUhhCxWYvZkyLGz4iGjGC29,
hqsnh9y,gummies,negative,comment,2022-01-01 11:10:58+00:00,chatcmpl-DXwNka2A1HYfmU4hYdIK0bDmYbyE9,
hqsp5ar,,,comment,2022-01-01 11:35:57+00:00,chatcmpl-DXwNltJwHJiETg4bcMDLaOLo7lFxx,
hqsq66p,,,comment,2022-01-01 11:51:18+00:00,chatcmpl-DXwNlsqgYbS4e5SXlUqVbez4nUEOz,
hqsr0f0,gummies,negative,comment,2022-01-01 12:03:37+00:00,chatcmpl-DXwNmEjsy1qCUdDgwrXTEW5axOZtv,
hqsr0f0,flower,negative,comment,2022-01-01 12:03:37+00:00,chatcmpl-DXwNmEjsy1qCUdDgwrXTEW5axOZtv,
hqsr0f0,oil,negative,comment,2022-01-01 12:03:37+00:00,chatcmpl-DXwNmEjsy1qCUdDgwrXTEW5axOZtv,
hqsrhsw,vape,positive,comment,2022-01-01 12:10:34+00:00,chatcmpl-DXwNnQYi6F7FveHQXlBGgChMZZQjS,
hqsrhsw,vape,negative,comment,2022-01-01 12:10:34+00:00,chatcmpl-DXwNnQYi6F7FveHQXlBGgChMZZQjS,
hqssm3s,,,comment,2022-01-01 12:26:26+00:00,chatcmpl-DXwNoIyv2vZWAJ68RC5N1yzAtseLT,
hqsuaeq,,,comment,2022-01-01 12:48:43+00:00,chatcmpl-DXwNqDlyl3EGy8FpY4J64ZSaR7rSs,
hqsux45,gummies,positive,comment,2022-01-01 12:56:45+00:00,chatcmpl-DXwNr5cdgILkDWL50YA5vEPSCFRl1,
hqsvfzo,gummies,negative,comment,2022-01-01 13:03:26+00:00,chatcmpl-DXwNscfmaNqZkCpgeWfmoHZBPGmvG,
hqsvfzo,topical,negative,comment,2022-01-01 13:03:26+00:00,chatcmpl-DXwNscfmaNqZkCpgeWfmoHZBPGmvG,
hqsvfzo,flower,positive,comment,2022-01-01 13:03:26+00:00,chatcmpl-DXwNscfmaNqZkCpgeWfmoHZBPGmvG,
hqsvfzo,vape,positive,comment,2022-01-01 13:03:26+00:00,chatcmpl-DXwNscfmaNqZkCpgeWfmoHZBPGmvG,
hqswgsw,,,comment,2022-01-01 13:15:37+00:00,chatcmpl-DXwNtHsAhzd1iOzvXgYFo2ld3wvpp,
hqsxatv,,,comment,2022-01-01 13:25:19+00:00,chatcmpl-DXwNvMe23M8VzLRGtUug57swvMSRY,
hqsz4la,,,comment,2022-01-01 13:45:53+00:00,chatcmpl-DXwNwTdSX9N324MfgjRTrQFlxIa1T,
hqszl2s,gummies,negative,comment,2022-01-01 13:50:13+00:00,chatcmpl-DXwNxRmW7HmvUJzfneB91uJb0JiOx,
hqszvur,vape,neutral,comment,2022-01-01 13:53:08+00:00,chatcmpl-DXwNyYokUsvzzt6AL56QxvMJAbyq6,
hqt084x,,,comment,2022-01-01 13:56:34+00:00,chatcmpl-DXwNz9r7sCO5AHufsNDlOkCvf7xPd,
hqt09du,gummies,neutral,comment,2022-01-01 13:56:56+00:00,chatcmpl-DXwNzQ3EyDkIbgRta4eClu1Yq1dpf,
hqt0oyx,,,comment,2022-01-01 14:01:25+00:00,chatcmpl-DXwO004GuMlByfjsaAvUFydIGdlU3,
hqt0sem,,,comment,2022-01-01 14:02:24+00:00,chatcmpl-DXwO1MMObcdnKXhX3mopP2eVjtHmH,
hqt14xp,oil,positive,comment,2022-01-01 14:05:55+00:00,chatcmpl-DXwO1R5kNJVldYe1aQK37VMhD4gI9,
hqt14xp,vape,positive,comment,2022-01-01 14:05:55+00:00,chatcmpl-DXwO1R5kNJVldYe1aQK37VMhD4gI9,
hqt15ou,,,comment,2022-01-01 14:06:07+00:00,chatcmpl-DXwO2KkdCkQ8hByhAe9JrZpJfHfEH,
hqt1lp6,flower,negative,comment,2022-01-01 14:10:38+00:00,chatcmpl-DXwO3ar3DRns2XY3KJRJYW3gyRZbj,
hqt1o56,gummies,positive,comment,2022-01-01 14:11:20+00:00,chatcmpl-DXwO5OdaEfMtOIepROuE2HJqKZOzm,
